Model,R² Score,RMSE,MAE,MSE,Mean Correlation,R² Rank,RMSE Rank,MAE Rank,MSE Rank,Correlation Rank,Overall Rank,Overall Position
residual_mlp,0.5321,0.3036,0.1437,0.0922,0.7147,1.0,2.0,1.0,2.0,2.0,1.6,1.0
cnn,0.5303,0.305,0.1476,0.0931,0.7199,2.0,3.0,5.0,3.0,1.0,2.8,2.0
transformer,0.5235,0.3052,0.1446,0.0931,0.7077,4.0,4.0,3.0,4.0,4.0,3.8,3.0
mlp,0.5267,0.3054,0.1455,0.0933,0.7109,3.0,5.0,4.0,5.0,3.0,4.0,4.5
moe_regressor,0.4404,0.3033,0.1442,0.092,0.5697,8.0,1.0,2.0,1.0,8.0,4.0,4.5
tabnet_regressor,0.4935,0.3181,0.1598,0.1012,0.6969,5.0,7.0,7.0,7.0,5.0,6.2,6.0
vae_regressor,0.4629,0.3089,0.1519,0.0954,0.6442,7.0,6.0,6.0,6.0,7.0,6.4,7.0
rnn,0.48,0.3237,0.1621,0.1048,0.6727,6.0,8.0,8.0,8.0,6.0,7.2,8.0
