Model,R² Score,RMSE,MAE,MSE,Mean Correlation,R² Rank,RMSE Rank,MAE Rank,MSE Rank,Correlation Rank,Overall Rank,Overall Position
residual_mlp,0.5321,0.3036,0.1437,0.0922,0.7147,1.0,2.0,1.0,2.0,1.0,1.4,1.0
transformer,0.5235,0.3052,0.1446,0.0931,0.7077,3.0,3.0,3.0,3.0,3.0,3.0,2.0
moe_regressor,0.4404,0.3033,0.1442,0.092,0.5697,6.0,1.0,2.0,1.0,6.0,3.2,3.5
mlp,0.5267,0.3054,0.1455,0.0933,0.7109,2.0,4.0,4.0,4.0,2.0,3.2,3.5
vae_regressor,0.4629,0.3089,0.1519,0.0954,0.6442,5.0,5.0,5.0,5.0,5.0,5.0,5.0
rnn,0.48,0.3237,0.1621,0.1048,0.6727,4.0,6.0,6.0,6.0,4.0,5.2,6.0
